List of Listed Companies & Contact Information,,,,,,As of 16 Jun 2025,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
SONIC,SONIC INTERFREIGHT PUBLIC COMPANY LIMITED,mai,Services,-,"79/349,350 1st, 2nd floor, Sathupradit Rd., Chongnonsee, Yannawa Bangkok",10120,0-2213-2999,0-2213-2533,www.sonic.co.th
SORKON,S. KHONKAEN FOODS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"259/13 SOI PRIDI BANOMYONG 13, SUKHUMVIT 71 ROAD, WATTHANA Bangkok",10110,0-2391-1010,0-2391-1792,http://www.sorkon.co.th
SPA,SIAM WELLNESS GROUP PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"565, 567 B.U. Place Building, 22nd Floor, Soi Suthiporn Prachasongkroh Road, Dindaeng Sub-district, Dindaeng District Bangkok",10400,0-2641-6619-20,0-2641-6621,http://www.siamwellnessgroup.com
SPACK,S. PACK & PRINT PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"119 MOO 1, KARNCHANAVANICH ROAD, TAMBOL TAKARM, AMPHOE HAT YAI Songkhla",90110,0-7426-0602-9,"0-7426-0600-1,0-7444-7128",www.spack.co.th
SPALI,SUPALAI PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"SUPALAI GRAND TOWER, 1011 RAMA 3 ROAD, CHONGNONSEE, YAN NAWA Bangkok",10120,0-2725-8888,0-2683-2177,http://www.supalai.com
SPC,SAHA PATHANAPIBUL PUBLIC COMPANY LIMITED,SET,Services,Commerce,"2156 NEW PETCHBURI ROAD, BANG KAPI, HUAI KHWANG Bangkok",10310,0-2318-0062,0-2319-1678,www.sahapat.co.th
SPCG,SPCG PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"No. 1 Capital Work Place Building 10th Fl. Soi Jamjan, Klongton Nua, Wattana Bangkok",10110,0-2011-8100-10,0-2011-8112,www.spcg.co.th
SPG,THE SIAM PAN GROUP PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"488 NAKORNSAWAN ROAD, SIYAKMAHANAK, DUSIT, Bangkok",10300,0-2280-0202-17,0-2280-6305,http://www.siampangroup.com
SPI,SAHA PATHANA INTER-HOLDING PUBLIC COMPANY LIMITED,SET,Services,Commerce,"530 SOI SATHUPRADIT 58, BANGPONGPANG, YAN NAWA Bangkok",10120,0-2293-0030-9,0-2293-0040,www.spi.co.th
SPRC,STAR PETROLEUM REFINING PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"No.1, I-3B Road, Map Ta Phut, Muang Rayong Rayong",21150,0-3869-9000,0-3869-9999,www.sprc.co.th
SPREME,Supreme Distribution Public Company Limited,SET,Technology,Information & Communication Technology,"No. 2/1 Soi Pradit Manutham 5, Pradit Manutham Road, Tha Raeng Sub-district, Bang Khen District Bangkok",10230,0-2943-8182,0-2943-8191,www.supreme.co.th
SPRIME,S PRIME GROWTH LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"No. 123 Vibhavadi Rangsit Road, 37th Floor, Suntowers B, Chom Phon Sub-District, Chatuchak District Bangkok",10900,"0-2617-6465,0-2050-5555-259",-,-
SPVI,S P V I PUBLIC COMPANY LIMITED,mai,Technology,-,"2 Premier Place Building, 1st Floor Zone A, 3rd Floor Zone A , Zone B , Soi Premier 2, Srinakarin Rd., Kwaneng Nongbon, Khet Prawet Bangkok",10250,0-2559-2901-10,0-2559-2488,http://www.spvi.co.th
SQ,SAHAKOL EQUIPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,47/10 Soi Amorphan 4 Vibhavadirangsit Road Chatuchak Bangkok,10900,0-2941-0888,0-2941-0881,www.sahakol.com
SR,SIAMRAJ PUBLIC COMPANY LIMITED,mai,Resources,-,"289/9 Moo10 Old Railway Road, Samrong, Phrapradaeng Samut Prakarn",10130,0-2743-5010-25,0-2743-5007-8,www.siamrajplc.com
SRICHA,SRIRACHA CONSTRUCTION PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"97 Moo 3, Surasak, Sriracha Chonburi",20110,0-3831-7555,0-3831-7577,www.sricha.com
SRIPANWA,SRI PANWA HOSPITALITY REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"2922/198 10thFl., Charn Issara Tower II, New Petchburi Road, Bangkapi, Huay Kwang Bangkok",10310,0-2308-2022,0-2308-2022,www.cireit.com
SRS,SIRISOFT PUBLIC COMPANY LIMITED,mai,Technology,-,"89 AIA Capital Center Building, 15th Floor, Ratchadaphisek Road, Din Daeng Bangkok",10400,"0-2006-5397,0-2006-3098",-,https://www.sirisoft.co.th/
SSF,SURAPON FOODS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"247 MOO 1, THEPARAK ROAD, THEPARAK, AMPHOE MUANG Samut Prakarn",10270,0-2385-3038-54,"0-2385-3176, 0-2385-3179",www.surapon.com
SSP,SERMSANG POWER CORPORATION PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"325/14 Lanluang Rd., Mahanak Square, Dusit Bangkok",10300,0-2628-0991-2,0-2628-0993,www.sermsang.com
SSPF,SALA @ SATHORN PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"898 Ploenchit Tower, 1-2nd Floor Zone A and 12th Floor, Ploenchit Road, Lumpini, Pathumwan Bangkok",10330,0-2657-5757,-,-
